INFO 2025-03-25 05:18:37,824 middleware Request GET /admin/quizzes/question/ from 127.0.0.1
INFO 2025-03-25 05:18:37,839 middleware Response 200
INFO 2025-03-25 05:18:37,871 middleware Request GET /admin/jsi18n/ from 127.0.0.1
INFO 2025-03-25 05:18:37,876 middleware Response 200
INFO 2025-03-25 05:18:38,903 middleware Request GET /admin/quizzes/quizattempt/ from 127.0.0.1
INFO 2025-03-25 05:18:38,920 middleware Response 200
INFO 2025-03-25 05:18:38,952 middleware Request GET /admin/jsi18n/ from 127.0.0.1
INFO 2025-03-25 05:18:38,957 middleware Response 200
INFO 2025-03-25 05:26:52,896 autoreload Watching for file changes with StatReloader
INFO 2025-03-25 05:29:53,824 autoreload Watching for file changes with StatReloader
INFO 2025-03-25 05:30:54,106 autoreload C:\Users\Abdallah\Desktop\skillzone\skillzone\users\models.py changed, reloading.
INFO 2025-03-25 05:30:54,801 autoreload Watching for file changes with StatReloader
INFO 2025-03-25 05:31:06,265 autoreload C:\Users\Abdallah\Desktop\skillzone\skillzone\users\views.py changed, reloading.
INFO 2025-03-25 05:31:06,917 autoreload Watching for file changes with StatReloader
INFO 2025-03-25 05:31:19,483 autoreload C:\Users\Abdallah\Desktop\skillzone\skillzone\users\views.py changed, reloading.
INFO 2025-03-25 05:31:20,130 autoreload Watching for file changes with StatReloader
INFO 2025-03-25 05:31:31,604 autoreload C:\Users\Abdallah\Desktop\skillzone\skillzone\users\views.py changed, reloading.
INFO 2025-03-25 05:31:32,237 autoreload Watching for file changes with StatReloader
INFO 2025-03-25 05:31:38,673 autoreload C:\Users\Abdallah\Desktop\skillzone\skillzone\users\urls.py changed, reloading.
INFO 2025-03-25 05:31:39,303 autoreload Watching for file changes with StatReloader
INFO 2025-03-25 05:40:50,306 autoreload Watching for file changes with StatReloader
INFO 2025-03-25 05:41:30,515 autoreload Watching for file changes with StatReloader
INFO 2025-03-25 05:42:40,704 autoreload Watching for file changes with StatReloader
INFO 2025-03-25 05:43:33,279 autoreload Watching for file changes with StatReloader
INFO 2025-03-25 05:44:50,919 middleware Request POST /api/v1/quizzes/quizzes/1/start/ from 127.0.0.1
INFO 2025-03-25 05:44:50,923 middleware Response 200
INFO 2025-03-25 05:44:51,369 middleware Request POST /api/v1/quizzes/quizzes/1/start/ from 127.0.0.1
